date,unit,grade,price,price_per_kg
2017-01-03,10  키로상자,상,30180,3018.0
2017-01-03,10  키로상자,중,21518,2151.8
2017-01-03,10  키로상자,특,49547,4954.7
2017-01-03,10  키로상자,하,13808,1380.8
2017-01-04,10  키로상자,상,33417,3341.7
2017-01-04,10  키로상자,중,22420,2242.0
2017-01-04,10  키로상자,특,47376,4737.6
2017-01-04,10  키로상자,하,13544,1354.4
2017-01-05,10  키로상자,상,25670,2567.0
2017-01-05,10  키로상자,중,18140,1814.0
2017-01-05,10  키로상자,특,37886,3788.6
2017-01-05,10  키로상자,하,13285,1328.5
2017-01-06,10  키로상자,상,32175,3217.5
2017-01-06,10  키로상자,중,20367,2036.7
2017-01-06,10  키로상자,특,43009,4300.9
2017-01-06,10  키로상자,하,12975,1297.5
2017-01-07,10  키로상자,상,19445,1944.5
2017-01-07,10  키로상자,중,15819,1581.9
2017-01-07,10  키로상자,특,27708,2770.8
2017-01-07,10  키로상자,하,12866,1286.6
2017-01-09,10  키로상자,상,24057,2405.7
2017-01-09,10  키로상자,중,16487,1648.7
2017-01-09,10  키로상자,특,29123,2912.3
2017-01-09,10  키로상자,하,10390,1039.0
2017-01-10,10  키로상자,상,24057,2405.7
2017-01-10,10  키로상자,중,16487,1648.7
2017-01-10,10  키로상자,특,29123,2912.3
2017-01-10,10  키로상자,하,10390,1039.0
2017-01-11,10  키로상자,상,23233,2323.3
2017-01-11,10  키로상자,중,18640,1864.0
2017-01-11,10  키로상자,특,29990,2999.0
2017-01-11,10  키로상자,하,13308,1330.8
2017-01-12,10  키로상자,상,30071,3007.1
2017-01-12,10  키로상자,중,18483,1848.3
2017-01-12,10  키로상자,특,40694,4069.4
2017-01-12,10  키로상자,하,11131,1113.1
2017-01-13,10  키로상자,상,43707,4370.7
2017-01-13,10  키로상자,중,24048,2404.8
2017-01-13,10  키로상자,특,66428,6642.8
2017-01-13,10  키로상자,하,10713,1071.3
2017-01-14,10  키로상자,상,30352,3035.2
2017-01-14,10  키로상자,중,15608,1560.8
2017-01-14,10  키로상자,특,43190,4319.0
2017-01-14,10  키로상자,하,6794,679.4
2017-01-16,10  키로상자,상,35754,3575.4
2017-01-16,10  키로상자,중,24440,2444.0
2017-01-16,10  키로상자,특,55593,5559.3
2017-01-16,10  키로상자,하,10913,1091.3
2017-01-17,10  키로상자,상,27502,2750.2
2017-01-17,10  키로상자,중,23000,2300.0
2017-01-17,10  키로상자,특,34071,3407.1
2017-01-17,10  키로상자,하,12607,1260.7
2017-01-18,10  키로상자,상,35872,3587.2
2017-01-18,10  키로상자,중,25802,2580.2
2017-01-18,10  키로상자,특,50581,5058.1
2017-01-18,10  키로상자,하,15957,1595.7
2017-01-19,5  키로상자,상,17306,3461.2
2017-01-19,10  키로상자,상,34299,3429.9
2017-01-19,5  키로상자,중,11886,2377.2
2017-01-19,10  키로상자,중,21048,2104.8
2017-01-19,5  키로상자,특,23631,4726.2
2017-01-19,10  키로상자,특,45943,4594.3
2017-01-19,5  키로상자,하,6986,1397.2
2017-01-19,10  키로상자,하,12783,1278.3
2017-01-20,5  키로상자,상,17306,3461.2
2017-01-20,10  키로상자,상,34299,3429.9
2017-01-20,5  키로상자,중,11886,2377.2
2017-01-20,10  키로상자,중,21048,2104.8
2017-01-20,5  키로상자,특,23631,4726.2
2017-01-20,10  키로상자,특,45943,4594.3
2017-01-20,5  키로상자,하,6986,1397.2
2017-01-20,10  키로상자,하,12783,1278.3
2017-01-21,5  키로상자,상,17306,3461.2
2017-01-21,10  키로상자,상,34299,3429.9
2017-01-21,5  키로상자,중,11886,2377.2
2017-01-21,10  키로상자,중,21048,2104.8
2017-01-21,5  키로상자,특,23631,4726.2
2017-01-21,10  키로상자,특,45943,4594.3
2017-01-21,5  키로상자,하,6986,1397.2
