date,unit,grade,price,price_per_kg
2024-10-19,10 키로상자,상,47622,4762.2
2024-10-21,10 키로상자,상,47622,4762.2
2024-10-22,10 키로상자,상,47622,4762.2
2024-10-23,10 키로상자,상,47622,4762.2
2024-10-24,10 키로상자,상,65480,6548.0
2024-10-25,10 키로상자,상,49906,4990.6
2024-10-26,10 키로상자,상,49906,4990.6
2024-10-28,10 키로상자,상,61188,6118.8
2024-10-29,10 키로상자,상,50603,5060.3
2024-10-30,10 키로상자,상,50486,5048.6
2024-10-31,10 키로상자,상,52512,5251.2
2024-11-01,10 키로상자,상,55916,5591.6
2024-11-02,10 키로상자,상,51524,5152.4
2024-11-04,10 키로상자,상,64490,6449.0
2024-11-05,10 키로상자,상,43274,4327.4
2024-11-06,10 키로상자,상,48049,4804.9
2024-11-07,10 키로상자,상,52870,5287.0
2024-11-08,10 키로상자,상,51355,5135.5
2024-11-09,10 키로상자,상,51355,5135.5
2024-11-11,10 키로상자,상,67653,6765.3
2024-11-12,10 키로상자,상,68920,6892.0
2024-11-13,10 키로상자,상,46665,4666.5
2024-11-14,10 키로상자,상,65249,6524.9
2024-11-15,10 키로상자,상,53927,5392.7
2024-11-16,10 키로상자,상,44424,4442.4
2024-11-18,10 키로상자,상,64470,6447.0
2024-11-19,10 키로상자,상,53899,5389.9
2024-11-20,10 키로상자,상,57310,5731.0
2024-11-21,10 키로상자,상,60952,6095.2
2024-11-22,10 키로상자,상,54336,5433.6
2024-11-23,10 키로상자,상,54336,5433.6
2024-11-25,10 키로상자,상,62005,6200.5
2024-11-26,10 키로상자,상,57431,5743.1
2024-11-27,10 키로상자,상,59635,5963.5
2024-11-28,10 키로상자,상,57102,5710.2
2024-11-29,10 키로상자,상,64918,6491.8
2024-11-30,10 키로상자,상,39421,3942.1
2024-12-02,10 키로상자,상,71214,7121.4
2024-12-03,10 키로상자,상,60128,6012.8
2024-12-04,10 키로상자,상,68406,6840.6
2024-12-05,10 키로상자,상,57566,5756.6
2024-12-06,10 키로상자,상,66604,6660.4
2024-12-07,10 키로상자,상,66604,6660.4
2024-12-09,10 키로상자,상,69058,6905.8
2024-12-10,10 키로상자,상,47752,4775.2
2024-12-11,10 키로상자,상,71710,7171.0
