date,unit,grade,price,price_per_kg
2025-10-29,10 키로상자,중,79276,7927.6
2025-10-30,10 키로상자,중,63435,6343.5
2025-10-31,10 키로상자,중,37037,3703.7
2025-11-03,10 키로상자,중,45949,4594.9
2025-11-04,10 키로상자,중,44091,4409.1
2025-11-05,10 키로상자,중,46033,4603.3
2025-11-06,10 키로상자,중,41369,4136.9
2025-11-07,10 키로상자,중,48772,4877.2
2025-11-08,10 키로상자,중,38272,3827.2
2025-11-10,10 키로상자,중,41215,4121.5
2025-11-11,10 키로상자,중,56030,5603.0
2025-11-12,10 키로상자,중,48622,4862.2
2025-11-13,10 키로상자,중,39159,3915.9
2025-11-14,10 키로상자,중,35686,3568.6
2025-11-15,10 키로상자,중,35686,3568.6
2025-11-17,10 키로상자,중,55721,5572.1
2025-11-18,10 키로상자,중,51513,5151.3
2025-11-19,10 키로상자,중,51513,5151.3
2025-11-20,10 키로상자,중,44695,4469.5
2025-11-21,10 키로상자,중,51306,5130.6
2025-11-22,10 키로상자,중,51641,5164.1
2025-11-24,10 키로상자,중,50169,5016.9
2025-11-25,10 키로상자,중,49745,4974.5
2025-11-26,10 키로상자,중,46540,4654.0
2025-11-27,10 키로상자,중,50594,5059.4
2025-11-28,10 키로상자,중,47762,4776.2
2025-11-29,10 키로상자,중,47762,4776.2
2025-12-01,10 키로상자,중,58954,5895.4
2025-12-02,10 키로상자,중,52881,5288.1
2025-12-03,10 키로상자,중,65528,6552.8
2025-12-04,10 키로상자,중,40513,4051.3
2025-12-05,10 키로상자,중,32136,3213.6
2025-12-06,10 키로상자,중,32136,3213.6
2025-12-08,10 키로상자,중,67541,6754.1
2025-12-09,10 키로상자,중,44677,4467.7
2025-12-10,10 키로상자,중,57057,5705.7
2025-12-11,10 키로상자,중,63082,6308.2
2025-12-12,10 키로상자,중,42680,4268.0
2025-12-15,10 키로상자,중,61082,6108.2
2025-12-16,10 키로상자,중,53800,5380.0
2025-12-17,10 키로상자,중,66992,6699.2
2025-12-18,10 키로상자,중,49549,4954.9
2025-12-19,10 키로상자,중,56532,5653.2
2025-12-20,10 키로상자,중,58149,5814.9
2025-12-22,10 키로상자,중,64959,6495.9
2025-12-23,10 키로상자,중,48006,4800.6
2025-12-24,10 키로상자,중,64724,6472.4
2025-12-25,10 키로상자,중,52648,5264.8
2025-12-26,10 키로상자,중,54202,5420.2
2025-12-27,10 키로상자,중,54202,5420.2
2025-12-29,10 키로상자,중,52308,5230.8
2025-12-30,10 키로상자,중,38974,3897.4
2025-12-31,10 키로상자,중,38974,3897.4
