date,unit,grade,price,price_per_kg
2025-10-29,10 키로상자,특,157353,15735.3
2025-10-30,10 키로상자,특,85000,8500.0
2025-10-31,10 키로상자,특,67389,6738.9
2025-11-03,10 키로상자,특,64000,6400.0
2025-11-04,10 키로상자,특,68556,6855.6
2025-11-05,10 키로상자,특,66875,6687.5
2025-11-06,10 키로상자,특,71950,7195.0
2025-11-07,10 키로상자,특,74450,7445.0
2025-11-08,10 키로상자,특,60800,6080.0
2025-11-10,10 키로상자,특,69286,6928.6
2025-11-11,10 키로상자,특,115877,11587.7
2025-11-12,10 키로상자,특,77472,7747.2
2025-11-13,10 키로상자,특,85217,8521.7
2025-11-14,10 키로상자,특,50471,5047.1
2025-11-15,10 키로상자,특,50471,5047.1
2025-11-17,10 키로상자,특,111637,11163.7
2025-11-18,10 키로상자,특,80000,8000.0
2025-11-19,10 키로상자,특,80000,8000.0
2025-11-20,10 키로상자,특,54333,5433.3
2025-11-21,10 키로상자,특,81053,8105.3
2025-11-22,10 키로상자,특,60000,6000.0
2025-11-24,10 키로상자,특,120798,12079.8
2025-11-25,10 키로상자,특,87304,8730.4
2025-11-26,10 키로상자,특,92255,9225.5
2025-11-27,10 키로상자,특,93872,9387.2
2025-11-28,10 키로상자,특,69471,6947.1
2025-11-29,10 키로상자,특,69471,6947.1
2025-12-01,10 키로상자,특,153364,15336.4
2025-12-02,10 키로상자,특,90000,9000.0
2025-12-03,10 키로상자,특,150237,15023.7
2025-12-04,10 키로상자,특,81744,8174.4
2025-12-05,10 키로상자,특,115000,11500.0
2025-12-06,10 키로상자,특,115000,11500.0
2025-12-08,10 키로상자,특,163161,16316.1
2025-12-09,10 키로상자,특,90000,9000.0
2025-12-10,10 키로상자,특,143947,14394.7
2025-12-11,10 키로상자,특,120836,12083.6
2025-12-12,10 키로상자,특,93755,9375.5
2025-12-15,10 키로상자,특,147188,14718.8
2025-12-16,10 키로상자,특,108482,10848.2
2025-12-17,10 키로상자,특,187716,18771.6
2025-12-18,10 키로상자,특,158343,15834.3
2025-12-19,10 키로상자,특,87816,8781.6
2025-12-20,10 키로상자,특,115119,11511.9
2025-12-22,10 키로상자,특,176408,17640.8
2025-12-23,10 키로상자,특,84000,8400.0
2025-12-24,10 키로상자,특,134375,13437.5
2025-12-25,10 키로상자,특,120789,12078.9
2025-12-26,10 키로상자,특,120900,12090.0
2025-12-27,10 키로상자,특,120900,12090.0
2025-12-29,10 키로상자,특,116565,11656.5
2025-12-30,10 키로상자,특,72953,7295.3
2025-12-31,10 키로상자,특,72953,7295.3
