date,unit,grade,price,price_per_kg
2017-12-19,10 키로상자,하,12266,1226.6
2017-12-20,10 키로상자,하,14112,1411.2
2017-12-21,10 키로상자,하,11393,1139.3
2017-12-22,10 키로상자,하,9846,984.6
2017-12-23,10 키로상자,하,18949,1894.9
2017-12-25,10 키로상자,하,10543,1054.3
2017-12-26,10 키로상자,하,12093,1209.3
2017-12-27,10 키로상자,하,11328,1132.8
2017-12-28,10 키로상자,하,10983,1098.3
2017-12-29,10 키로상자,하,11897,1189.7
2017-12-30,10 키로상자,하,8952,895.2
2018-01-03,10 키로상자,하,14239,1423.9
2018-01-04,10 키로상자,하,13703,1370.3
2018-01-05,10 키로상자,하,15375,1537.5
2018-01-06,10 키로상자,하,10948,1094.8
2018-01-08,10 키로상자,하,12549,1254.9
2018-01-09,10 키로상자,하,12087,1208.7
2018-01-10,10 키로상자,하,13696,1369.6
2018-01-11,10 키로상자,하,16066,1606.6
2018-01-12,10 키로상자,하,10802,1080.2
2018-01-13,10 키로상자,하,10770,1077.0
2018-01-15,10 키로상자,하,12641,1264.1
2018-01-16,10 키로상자,하,12805,1280.5
2018-01-17,10 키로상자,하,12883,1288.3
2018-01-18,10 키로상자,하,12310,1231.0
2018-01-19,10 키로상자,하,10701,1070.1
2018-01-20,10 키로상자,하,6507,650.7
2018-01-22,10 키로상자,하,12017,1201.7
2018-01-23,10 키로상자,하,7377,737.7
2018-01-24,10 키로상자,하,11358,1135.8
2018-01-25,10 키로상자,하,8944,894.4
2018-01-26,10 키로상자,하,10512,1051.2
2018-01-27,10 키로상자,하,10512,1051.2
2018-01-29,10 키로상자,하,10557,1055.7
2018-01-30,10 키로상자,하,13638,1363.8
2018-01-31,10 키로상자,하,20082,2008.2
2018-02-01,10 키로상자,하,11885,1188.5
2018-02-02,10 키로상자,하,16869,1686.9
2018-02-03,10 키로상자,하,13037,1303.7
2018-02-05,10 키로상자,하,12234,1223.4
2018-02-06,10 키로상자,하,13076,1307.6
2018-02-07,10 키로상자,하,15924,1592.4
2018-02-08,10 키로상자,하,13680,1368.0
2018-02-09,10 키로상자,하,15429,1542.9
2018-02-10,10 키로상자,하,11914,1191.4
2018-02-12,10 키로상자,하,15146,1514.6
2018-02-13,10 키로상자,하,13051,1305.1
2018-02-14,10 키로상자,하,13051,1305.1
2018-02-15,10 키로상자,하,13051,1305.1
2018-02-19,10 키로상자,하,16605,1660.5
2018-02-20,10 키로상자,하,26000,2600.0
2018-02-21,10 키로상자,하,16306,1630.6
2018-02-22,10 키로상자,하,16080,1608.0
2018-02-23,10 키로상자,하,16217,1621.7
2018-02-24,10 키로상자,하,16727,1672.7
2018-02-26,10 키로상자,하,11935,1193.5
2018-02-27,10 키로상자,하,10700,1070.0
2018-02-28,10 키로상자,하,14815,1481.5
2018-03-01,10 키로상자,하,9762,976.2
2018-03-02,10 키로상자,하,11556,1155.6
2018-03-03,10 키로상자,하,11556,1155.6
2018-03-05,10 키로상자,하,10159,1015.9
2018-03-06,10 키로상자,하,12182,1218.2
2018-03-07,10 키로상자,하,12781,1278.1
2018-03-08,10 키로상자,하,10069,1006.9
2018-03-09,10 키로상자,하,11051,1105.1
2018-03-10,10 키로상자,하,9530,953.0
2018-03-12,10 키로상자,하,10938,1093.8
2018-03-13,10 키로상자,하,8390,839.0
