datetime,가격,등락률,grade
2019-12-31,18328.0,0.0,상
2020-01-02,18209.0,-0.65,상
2020-01-03,18323.0,0.63,상
2020-01-06,18209.0,-0.62,상
2020-01-07,18170.0,-0.21,상
2020-01-08,18351.0,1.0,상
2020-01-09,18384.0,0.18,상
2020-01-10,18384.0,0.0,상
2020-01-13,18016.0,-2.0,상
2020-01-14,18122.0,0.59,상
2020-01-15,18042.0,-0.44,상
2020-01-16,18577.0,2.97,상
2020-01-17,18758.0,0.97,상
2020-01-20,19534.0,4.14,상
2020-01-21,20065.0,2.72,상
2020-01-22,20336.0,1.35,상
2020-01-23,21424.0,5.35,상
2020-01-28,21036.0,-1.81,상
2020-01-29,20934.0,-0.48,상
2020-01-30,20289.0,-3.08,상
2020-01-31,20289.0,0.0,상
2020-02-03,19825.0,-2.29,상
2020-02-04,20019.0,0.98,상
2020-02-05,19847.0,-0.86,상
2020-02-06,19963.0,0.58,상
2020-02-07,20335.0,1.86,상
2020-02-10,20047.0,-1.42,상
2020-02-11,19976.0,-0.35,상
2020-02-12,19976.0,0.0,상
2020-02-13,20073.0,0.49,상
2020-02-14,20495.0,2.1,상
2020-02-17,20939.0,2.17,상
2020-02-18,20641.0,-1.42,상
2020-02-19,20641.0,0.0,상
2020-02-20,20047.0,-2.88,상
2020-02-21,20422.0,1.87,상
2020-02-24,20134.0,-1.41,상
2020-02-25,20079.0,-0.27,상
2020-02-26,20277.0,0.99,상
2020-02-27,19693.0,-2.88,상
2020-02-28,20114.0,2.14,상
2020-03-02,19792.0,-1.6,상
2020-03-03,19532.0,-1.31,상
2020-03-04,19777.0,1.25,상
2020-03-05,19592.0,-0.94,상
2020-03-06,19592.0,0.0,상
2020-03-09,19722.0,0.66,상
2020-03-10,19659.0,-0.32,상
2020-03-11,19650.0,-0.05,상
2020-03-12,19644.0,-0.03,상
2020-03-13,19797.0,0.78,상
2020-03-16,19709.0,-0.44,상
2020-03-17,19644.0,-0.33,상
2020-03-18,19738.0,0.48,상
2020-03-19,20156.0,2.12,상
2020-03-20,20081.0,-0.37,상
2020-03-23,19859.0,-1.11,상
2020-03-24,19859.0,0.0,상
2020-03-25,19859.0,0.0,상
2020-03-26,20048.0,0.95,상
2020-03-27,20048.0,0.0,상
2020-03-30,20181.0,0.66,상
2020-03-31,20065.0,-0.57,상
2020-04-01,20065.0,0.0,상
2020-04-02,19956.0,-0.54,상
2020-04-03,20108.0,0.76,상
2020-04-06,20265.0,0.78,상
2020-04-07,20294.0,0.14,상
2020-04-08,20446.0,0.75,상
2020-04-09,20431.0,-0.07,상
2020-04-10,20446.0,0.07,상
2020-04-13,20561.0,0.56,상
2020-04-14,20779.0,1.06,상
2020-04-16,20431.0,-1.67,상
2020-04-17,20357.0,-0.36,상
2020-04-20,20293.0,-0.31,상
2020-04-21,20293.0,0.0,상
2020-04-22,20293.0,0.0,상
2020-04-23,20521.0,1.12,상
2020-04-24,20521.0,0.0,상
2020-04-27,20554.0,0.16,상
