date,grade,price_per_kg
2017-12-19,상,2960.7
2017-12-20,상,3418.1
2017-12-21,상,2854.9
2017-12-22,상,2655.5
2017-12-23,상,2840.4
2017-12-25,상,2933.1
2017-12-26,상,2878.0
2017-12-27,상,3019.9
2017-12-28,상,2848.1
2017-12-29,상,2925.9
2017-12-30,상,2421.4
2018-01-03,상,3424.2
2018-01-04,상,3002.3
2018-01-05,상,3392.9
2018-01-06,상,3122.9
2018-01-08,상,3226.7
2018-01-09,상,3112.1
2018-01-10,상,3011.3
2018-01-11,상,3248.7
2018-01-12,상,3049.5
2018-01-13,상,2879.3
2018-01-15,상,3029.3
2018-01-16,상,2670.4
2018-01-17,상,2989.7
2018-01-18,상,3188.2
2018-01-19,상,2792.1
2018-01-20,상,1942.4
2018-01-22,상,3033.4
2018-01-23,상,2639.0
2018-01-24,상,3029.7
2018-01-25,상,2163.8
2018-01-26,상,3861.4
2018-01-27,상,3861.4
2018-01-29,상,3286.7
2018-01-30,상,3583.8
2018-01-31,상,4863.0
2018-02-01,상,3430.2
2018-02-02,상,3415.3
2018-02-03,상,3649.9
2018-02-05,상,3734.6
2018-02-06,상,3041.5
2018-02-07,상,4084.7
2018-02-08,상,3567.4
2018-02-09,상,3933.6
2018-02-10,상,2672.9
2018-02-12,상,3489.9
2018-02-13,상,2524.5
2018-02-14,상,2524.5
2018-02-15,상,2524.5
2018-02-19,상,2581.2
2018-02-20,상,3175.3
2018-02-21,상,3079.5
2018-02-22,상,3090.5
2018-02-23,상,3541.1
2018-02-24,상,2923.5
2018-02-26,상,2593.2
2018-02-27,상,2632.2
2018-02-28,상,2917.1
2018-03-01,상,2896.7
2018-03-02,상,2382.6
2018-03-03,상,2382.6
2018-03-05,상,2821.1
2018-03-06,상,2504.3
2018-03-07,상,2904.5
2018-03-08,상,2524.8
2018-03-09,상,2734.0
2018-03-10,상,2755.9
2018-03-12,상,3040.9
2018-03-13,상,2744.1
2018-03-14,상,2930.4
2018-03-15,상,2712.0
2018-03-16,상,3202.5
2018-03-17,상,2407.7
2018-03-19,상,3001.8
2018-03-20,상,2857.4
2018-03-21,상,3501.0
2018-03-22,상,2940.1
2018-03-23,상,3005.3
2018-03-24,상,3244.2
2018-03-26,상,3265.4
2018-03-27,상,2771.7
2018-03-28,상,2967.3
2018-03-29,상,2946.2
2018-03-30,상,3459.2
2018-03-31,상,3398.3
2018-04-02,상,2886.2
2018-04-03,상,2881.1
2018-04-04,상,3252.0
2018-04-05,상,3009.8
2018-04-06,상,2887.6
2018-04-07,상,1712.5
2018-04-09,상,3228.0
2018-04-10,상,3114.6
2018-04-11,상,3216.9
2018-04-12,상,2840.8
2018-04-13,상,3094.9
2018-04-14,상,2184.7
2018-04-16,상,3071.7
2018-04-17,상,3224.8
2018-04-18,상,2943.9
2018-04-19,상,3342.4
2018-04-20,상,2879.2
2018-04-21,상,2676.3
2018-04-23,상,2945.8
2018-04-24,상,2901.3
2018-04-25,상,2727.6
2018-04-26,상,3093.2
2018-04-27,상,2907.6
2018-04-28,상,2642.9
2018-04-30,상,3129.5
2018-05-01,상,2688.5
2018-05-02,상,2834.4
2018-05-03,상,2741.2
2018-05-04,상,2806.7
2018-05-05,상,2806.7
2018-05-07,상,3160.7
2018-05-08,상,2710.9
2018-05-09,상,2831.1
2018-05-10,상,2763.1
2018-05-11,상,3314.9
2018-05-12,상,2087.7
2018-05-14,상,3332.9
2018-05-15,상,2719.6
2018-05-16,상,2791.8
2018-05-17,상,2781.7
2018-05-18,상,2796.8
2018-05-19,상,2239.5
2018-05-21,상,2959.7
2018-05-22,상,2676.2
2018-05-23,상,2652.8
2018-05-24,상,2879.2
2018-05-25,상,2884.8
2018-05-26,상,1152.7
2018-05-28,상,2922.6
2018-05-29,상,2668.4
2018-05-30,상,2935.0
2018-05-31,상,3140.4
2018-06-01,상,2898.6
2018-06-02,상,2199.2
2018-06-04,상,3317.5
2018-06-05,상,2675.2
2018-06-06,상,2789.6
2018-06-07,상,2926.1
2018-06-08,상,2940.8
2018-06-09,상,2421.7
2018-06-11,상,3020.6
2018-06-12,상,3089.8
2018-06-13,상,2801.3
2018-06-14,상,3134.5
2018-06-15,상,3960.0
2018-06-16,상,3469.6
2018-06-18,상,3162.9
2018-06-19,상,2938.5
2018-06-20,상,3016.7
2018-06-21,상,2834.6
2018-06-22,상,2738.7
2018-06-23,상,1789.9
2018-06-25,상,2573.2
2018-06-26,상,2732.6
2018-06-27,상,2644.5
2018-06-28,상,2552.9
2018-06-29,상,2741.5
2018-06-30,상,1932.5
2018-07-02,상,3426.5
2018-07-03,상,2595.5
2018-07-04,상,3146.6
2018-07-05,상,3118.1
2018-07-06,상,2392.1
2018-07-07,상,2351.3
2018-07-09,상,2655.9
2018-07-10,상,2569.0
2018-07-11,상,3222.4
2018-07-12,상,2748.6
2018-07-13,상,2465.9
2018-07-14,상,2913.2
2018-07-16,상,2897.6
2018-07-17,상,2451.7
2018-07-18,상,2799.4
2018-07-19,상,2275.1
2018-07-20,상,2104.0
2018-07-21,상,2246.4
2018-07-23,상,2039.2
2018-07-24,상,2532.3
2018-07-25,상,3084.4
2018-07-26,상,2408.3
2018-07-27,상,2132.6
2018-07-28,상,2276.3
2018-07-30,상,3005.2
2018-07-31,상,2598.4
2018-08-01,상,2528.2
2018-08-02,상,2172.1
2018-08-03,상,3056.7
2018-08-06,상,2341.5
2018-08-07,상,2421.4
2018-08-08,상,3243.9
2018-08-09,상,2300.0
2018-08-10,상,4309.8
2018-08-11,상,4172.7
2018-08-13,상,3699.4
2018-08-14,상,3748.9
2018-08-15,상,4508.5
2018-08-16,상,3296.9
2018-08-17,상,4292.9
2018-08-18,상,4308.7
2018-08-20,상,2583.8
2018-08-21,상,3749.8
2018-08-22,상,4691.0
2018-08-23,상,5209.9
2018-08-24,상,5083.8
2018-08-25,상,4451.4
2018-08-27,상,4451.4
2018-08-28,상,4451.4
2018-08-29,상,4451.4
2018-08-30,상,4451.4
2018-08-31,상,1533.3
2018-09-01,상,1533.3
2018-09-03,상,1533.3
2018-09-04,상,1533.3
2018-09-05,상,1533.3
2018-09-06,상,1533.3
2018-09-07,상,1515.8
2018-09-08,상,1515.8
2018-09-10,상,1515.8
2018-09-11,상,1515.8
2018-09-12,상,1515.8
2018-09-13,상,1515.8
2018-09-14,상,1515.8
2018-09-15,상,1515.8
2018-09-17,상,1515.8
2018-09-18,상,1515.8
2018-09-19,상,1515.8
2018-09-20,상,1515.8
2018-09-21,상,1515.8
2018-09-22,상,1515.8
2018-09-27,상,1515.8
2018-09-28,상,1515.8
2018-09-29,상,1515.8
2018-10-01,상,1515.8
2018-10-02,상,1515.8
2018-10-03,상,1515.8
2018-10-04,상,1515.8
2018-10-05,상,1515.8
2018-10-06,상,1515.8
2018-10-08,상,1515.8
2018-10-09,상,1515.8
2018-10-10,상,1515.8
2018-10-11,상,1515.8
2018-10-12,상,1515.8
2018-10-13,상,1515.8
2018-10-15,상,1515.8
2018-10-16,상,3300.0
2018-10-17,상,2609.4
2018-10-18,상,2574.2
2018-10-19,상,3695.5
2018-10-20,상,3423.6
2018-10-22,상,3423.6
2018-10-23,상,3333.0
2018-10-24,상,3080.2
2018-10-25,상,2863.6
2018-10-26,상,2896.3
2018-10-27,상,3010.4
2018-10-29,상,3235.0
2018-10-30,상,3050.9
2018-10-31,상,3127.8
2018-11-01,상,3164.2
2018-11-02,상,3269.5
2018-11-03,상,3273.3
2018-11-05,상,2851.4
2018-11-06,상,3150.7
2018-11-07,상,3119.5
2018-11-08,상,2610.6
2018-11-09,상,3782.8
2018-11-10,상,3217.3
2018-11-12,상,3378.9
2018-11-13,상,3349.5
2018-11-14,상,3034.7
2018-11-15,상,3192.7
2018-11-16,상,2759.3
