date,grade,price_per_kg
2017-12-19,중,2268.5
2017-12-20,중,2535.0
2017-12-21,중,1910.2
2017-12-22,중,2041.9
2017-12-23,중,2365.0
2017-12-25,중,2002.6
2017-12-26,중,2113.2
2017-12-27,중,2013.0
2017-12-28,중,2021.6
2017-12-29,중,2252.3
2017-12-30,중,1483.1
2018-01-03,중,2476.7
2018-01-04,중,2092.7
2018-01-05,중,2448.5
2018-01-06,중,2398.1
2018-01-08,중,2121.6
2018-01-09,중,2136.8
2018-01-10,중,2257.8
2018-01-11,중,2463.0
2018-01-12,중,2057.4
2018-01-13,중,1672.7
2018-01-15,중,2040.1
2018-01-16,중,2111.7
2018-01-17,중,2087.1
2018-01-18,중,2133.1
2018-01-19,중,1832.8
2018-01-20,중,1165.0
2018-01-22,중,1998.2
2018-01-23,중,1385.5
2018-01-24,중,2108.9
2018-01-25,중,1441.8
2018-01-26,중,2136.8
2018-01-27,중,2136.8
2018-01-29,중,2193.4
2018-01-30,중,2614.0
2018-01-31,중,3236.4
2018-02-01,중,2274.1
2018-02-02,중,2577.6
2018-02-03,중,2234.7
2018-02-05,중,2370.6
2018-02-06,중,2135.2
2018-02-07,중,2735.0
2018-02-08,중,2391.3
2018-02-09,중,2687.6
2018-02-10,중,1873.0
2018-02-12,중,2619.7
2018-02-13,중,1757.7
2018-02-14,중,1757.7
2018-02-15,중,1757.7
2018-02-19,중,2422.7
2018-02-20,중,2789.7
2018-02-21,중,2435.8
2018-02-22,중,2388.7
2018-02-23,중,2411.0
2018-02-24,중,2310.3
2018-02-26,중,1690.4
2018-02-27,중,1514.5
2018-02-28,중,2341.9
2018-03-01,중,2029.2
2018-03-02,중,1471.2
2018-03-03,중,1471.2
2018-03-05,중,1842.5
2018-03-06,중,1529.1
2018-03-07,중,2256.0
2018-03-08,중,1814.0
2018-03-09,중,1892.1
2018-03-10,중,1737.8
2018-03-12,중,1861.1
2018-03-13,중,1727.7
2018-03-14,중,2032.1
2018-03-15,중,1873.2
2018-03-16,중,2149.5
2018-03-17,중,1751.7
2018-03-19,중,2034.5
2018-03-20,중,1910.5
2018-03-21,중,2242.1
2018-03-22,중,2215.5
2018-03-23,중,1843.1
2018-03-24,중,1685.8
2018-03-26,중,2086.3
2018-03-27,중,1917.8
2018-03-28,중,2261.3
2018-03-29,중,2126.7
2018-03-30,중,2280.4
2018-03-31,중,2105.7
2018-04-02,중,2040.0
2018-04-03,중,1950.2
2018-04-04,중,2123.0
2018-04-05,중,1822.4
2018-04-06,중,2077.2
2018-04-07,중,1062.1
2018-04-09,중,2266.9
2018-04-10,중,2118.0
2018-04-11,중,2048.1
2018-04-12,중,2079.1
2018-04-13,중,2090.9
2018-04-14,중,1624.6
2018-04-16,중,2252.0
2018-04-17,중,2175.2
2018-04-18,중,2233.7
2018-04-19,중,2046.7
2018-04-20,중,2055.9
2018-04-21,중,1998.9
2018-04-23,중,2146.0
2018-04-24,중,2103.6
2018-04-25,중,1992.3
2018-04-26,중,2000.4
2018-04-27,중,2032.8
2018-04-28,중,2095.4
2018-04-30,중,2118.1
2018-05-01,중,1873.1
2018-05-02,중,1868.0
2018-05-03,중,1904.5
2018-05-04,중,1979.5
2018-05-05,중,1979.5
2018-05-07,중,2095.4
2018-05-08,중,1979.0
2018-05-09,중,1967.9
2018-05-10,중,1914.7
2018-05-11,중,2233.7
2018-05-12,중,1838.0
2018-05-14,중,2124.6
2018-05-15,중,1950.5
2018-05-16,중,2107.4
2018-05-17,중,2032.4
2018-05-18,중,1748.2
2018-05-19,중,1719.8
2018-05-21,중,2167.4
2018-05-22,중,2093.2
2018-05-23,중,1787.5
2018-05-24,중,2175.8
2018-05-25,중,2085.4
2018-05-26,중,928.9
2018-05-28,중,2126.8
2018-05-29,중,2145.1
2018-05-30,중,2148.0
2018-05-31,중,2047.9
2018-06-01,중,2156.9
2018-06-02,중,1685.0
2018-06-04,중,2241.4
2018-06-05,중,1827.8
2018-06-06,중,2051.5
2018-06-07,중,2269.8
2018-06-08,중,2154.4
2018-06-09,중,1607.1
2018-06-11,중,2227.6
2018-06-12,중,2029.5
2018-06-13,중,2143.7
2018-06-14,중,1957.2
2018-06-15,중,2244.5
2018-06-16,중,2146.9
2018-06-18,중,2077.8
2018-06-19,중,1883.1
2018-06-20,중,2146.9
2018-06-21,중,1961.4
2018-06-22,중,1768.8
2018-06-23,중,1533.1
2018-06-25,중,2080.5
2018-06-26,중,1482.6
2018-06-27,중,1850.8
2018-06-28,중,2029.0
2018-06-29,중,2067.6
2018-06-30,중,977.0
2018-07-02,중,2327.1
2018-07-03,중,1921.4
2018-07-04,중,2219.0
2018-07-05,중,2224.5
2018-07-06,중,2036.7
2018-07-07,중,1718.6
2018-07-09,중,1909.2
2018-07-10,중,1881.6
2018-07-11,중,2321.4
2018-07-12,중,1695.5
2018-07-13,중,1401.6
2018-07-14,중,1793.3
