date,grade,price_per_kg
2017-12-19,특,3501.8
2017-12-20,특,4659.1
2017-12-21,특,3933.8
2017-12-22,특,3706.2
2017-12-23,특,3731.4
2017-12-25,특,3980.2
2017-12-26,특,3748.2
2017-12-27,특,3919.3
2017-12-28,특,3593.8
2017-12-29,특,3742.3
2017-12-30,특,2800.0
2018-01-03,특,4987.8
2018-01-04,특,4240.1
2018-01-05,특,4615.0
2018-01-06,특,4226.0
2018-01-08,특,4794.1
2018-01-09,특,4250.7
2018-01-10,특,4118.8
2018-01-11,특,4412.7
2018-01-12,특,4343.3
2018-01-13,특,3704.6
2018-01-15,특,4298.9
2018-01-16,특,3187.8
2018-01-17,특,4301.1
2018-01-18,특,4345.6
2018-01-19,특,3922.6
2018-01-20,특,2500.0
2018-01-22,특,4939.7
2018-01-23,특,3660.1
2018-01-24,특,4472.0
2018-01-25,특,3862.9
2018-01-26,특,6289.5
2018-01-27,특,6289.5
2018-01-29,특,4467.3
2018-01-30,특,4752.7
2018-01-31,특,6975.4
2018-02-01,특,5004.9
2018-02-02,특,5198.3
2018-02-03,특,4859.9
2018-02-05,특,6520.9
2018-02-06,특,4468.5
2018-02-07,특,6960.8
2018-02-08,특,4861.8
2018-02-09,특,6263.3
2018-02-10,특,3887.0
2018-02-12,특,4471.0
2018-02-13,특,2600.0
2018-02-14,특,2600.0
2018-02-15,특,2600.0
2018-02-19,특,2800.0
2018-02-20,특,3331.3
2018-02-21,특,3629.3
2018-02-22,특,3907.9
2018-02-23,특,4296.6
2018-02-24,특,3440.0
2018-02-26,특,3065.7
2018-02-27,특,3762.8
2018-02-28,특,3377.7
2018-03-01,특,4154.9
2018-03-02,특,3443.9
2018-03-03,특,3443.9
2018-03-05,특,4083.6
2018-03-06,특,3625.3
2018-03-07,특,3666.9
2018-03-08,특,3515.0
2018-03-09,특,3739.7
2018-03-10,특,3729.4
2018-03-12,특,4416.0
2018-03-13,특,3431.4
2018-03-14,특,3871.2
2018-03-15,특,3499.7
2018-03-16,특,4946.4
2018-03-17,특,2500.0
2018-03-19,특,4673.0
2018-03-20,특,3657.1
2018-03-21,특,5137.5
2018-03-22,특,3628.2
2018-03-23,특,3861.8
2018-03-24,특,3500.0
2018-03-26,특,5300.5
2018-03-27,특,3290.6
2018-03-28,특,4195.6
2018-03-29,특,4243.0
2018-03-30,특,5970.8
2018-03-31,특,4879.1
2018-04-02,특,3725.9
2018-04-03,특,4644.4
2018-04-04,특,5443.5
2018-04-05,특,5011.6
2018-04-06,특,3761.7
2018-04-07,특,2900.0
2018-04-09,특,5288.1
2018-04-10,특,4117.4
2018-04-11,특,4895.2
2018-04-12,특,4130.7
2018-04-13,특,4736.0
2018-04-14,특,2444.7
2018-04-16,특,4605.8
2018-04-17,특,4919.6
2018-04-18,특,4184.6
2018-04-19,특,5079.8
2018-04-20,특,5021.4
2018-04-21,특,3581.5
2018-04-23,특,4157.0
2018-04-24,특,3491.3
2018-04-25,특,4191.1
2018-04-26,특,4917.7
2018-04-27,특,5086.1
2018-04-28,특,2787.7
2018-04-30,특,5172.6
2018-05-01,특,4414.0
2018-05-02,특,4721.4
2018-05-03,특,3930.8
2018-05-04,특,4660.5
2018-05-05,특,4660.5
2018-05-07,특,5150.6
2018-05-08,특,3697.5
2018-05-09,특,3930.7
2018-05-10,특,3585.2
2018-05-11,특,5325.6
2018-05-12,특,2200.0
2018-05-14,특,5093.9
2018-05-15,특,4110.0
2018-05-16,특,4393.6
2018-05-17,특,4583.7
2018-05-18,특,5109.6
2018-05-19,특,2600.0
2018-05-21,특,4547.1
2018-05-22,특,3148.7
2018-05-23,특,3710.8
2018-05-24,특,3592.8
2018-05-25,특,4520.0
2018-05-26,특,2000.0
2018-05-28,특,4251.6
2018-05-29,특,3284.3
2018-05-30,특,4485.3
2018-05-31,특,4843.7
2018-06-01,특,3775.0
2018-06-02,특,2627.1
2018-06-04,특,5320.2
2018-06-05,특,3646.3
2018-06-06,특,4361.0
2018-06-07,특,4564.0
2018-06-08,특,4214.4
2018-06-09,특,4000.0
2018-06-11,특,4511.3
2018-06-12,특,4634.4
2018-06-13,특,4252.3
2018-06-14,특,5911.1
2018-06-15,특,6065.4
2018-06-16,특,4800.0
2018-06-18,특,5410.9
2018-06-19,특,3894.2
2018-06-20,특,5446.5
2018-06-21,특,4585.3
2018-06-22,특,4661.4
2018-06-23,특,2255.0
2018-06-25,특,3211.4
2018-06-26,특,4864.4
2018-06-27,특,3775.9
2018-06-28,특,3223.6
2018-06-29,특,3428.4
2018-06-30,특,2500.0
2018-07-02,특,5618.5
2018-07-03,특,3609.7
2018-07-04,특,5147.7
2018-07-05,특,5054.3
2018-07-06,특,2600.0
2018-07-07,특,2800.0
2018-07-09,특,3706.1
