date,grade,price_per_kg
2017-12-19,하,1226.6
2017-12-20,하,1411.2
2017-12-21,하,1139.3
2017-12-22,하,984.6
2017-12-23,하,1894.9
2017-12-25,하,1054.3
2017-12-26,하,1209.3
2017-12-27,하,1132.8
2017-12-28,하,1098.3
2017-12-29,하,1189.7
2017-12-30,하,895.2
2018-01-03,하,1423.9
2018-01-04,하,1370.3
2018-01-05,하,1537.5
2018-01-06,하,1094.8
2018-01-08,하,1254.9
2018-01-09,하,1208.7
2018-01-10,하,1369.6
2018-01-11,하,1606.6
2018-01-12,하,1080.2
2018-01-13,하,1077.0
2018-01-15,하,1264.1
2018-01-16,하,1280.5
2018-01-17,하,1288.3
2018-01-18,하,1231.0
2018-01-19,하,1070.1
2018-01-20,하,650.7
2018-01-22,하,1201.7
2018-01-23,하,737.7
2018-01-24,하,1135.8
2018-01-25,하,894.4
2018-01-26,하,1051.2
2018-01-27,하,1051.2
2018-01-29,하,1055.7
2018-01-30,하,1363.8
2018-01-31,하,2008.2
2018-02-01,하,1188.5
2018-02-02,하,1686.9
2018-02-03,하,1303.7
2018-02-05,하,1223.4
2018-02-06,하,1307.6
2018-02-07,하,1592.4
2018-02-08,하,1368.0
2018-02-09,하,1542.9
2018-02-10,하,1191.4
2018-02-12,하,1514.6
2018-02-13,하,1305.1
2018-02-14,하,1305.1
2018-02-15,하,1305.1
2018-02-19,하,1660.5
2018-02-20,하,2600.0
2018-02-21,하,1630.6
2018-02-22,하,1608.0
2018-02-23,하,1621.7
2018-02-24,하,1672.7
2018-02-26,하,1193.5
2018-02-27,하,1070.0
2018-02-28,하,1481.5
2018-03-01,하,976.2
2018-03-02,하,1155.6
2018-03-03,하,1155.6
2018-03-05,하,1015.9
2018-03-06,하,1218.2
2018-03-07,하,1278.1
2018-03-08,하,1006.9
2018-03-09,하,1105.1
2018-03-10,하,953.0
2018-03-12,하,1093.8
2018-03-13,하,839.0
2018-03-14,하,1191.4
2018-03-15,하,1019.7
2018-03-16,하,1234.0
2018-03-17,하,1084.7
2018-03-19,하,1112.9
2018-03-20,하,1063.6
2018-03-21,하,1158.3
2018-03-22,하,1217.2
2018-03-23,하,1069.0
2018-03-24,하,1089.1
2018-03-26,하,1059.2
2018-03-27,하,825.1
2018-03-28,하,1451.4
2018-03-29,하,964.3
2018-03-30,하,1295.7
2018-03-31,하,1303.6
2018-04-02,하,1254.6
2018-04-03,하,1060.9
2018-04-04,하,1151.3
2018-04-05,하,914.4
2018-04-06,하,1041.9
2018-04-07,하,775.8
2018-04-09,하,1343.9
2018-04-10,하,1092.1
2018-04-11,하,1100.4
2018-04-12,하,1163.5
2018-04-13,하,1065.4
2018-04-14,하,1313.2
2018-04-16,하,1407.7
2018-04-17,하,1347.4
2018-04-18,하,1452.2
2018-04-19,하,1329.9
2018-04-20,하,1309.7
2018-04-21,하,1334.3
2018-04-23,하,1271.6
2018-04-24,하,1153.5
2018-04-25,하,1278.6
2018-04-26,하,1133.4
2018-04-27,하,1319.4
2018-04-28,하,1543.0
2018-04-30,하,1234.6
2018-05-01,하,1153.5
2018-05-02,하,1022.4
2018-05-03,하,1061.6
2018-05-04,하,1060.3
2018-05-05,하,1060.3
2018-05-07,하,993.0
2018-05-08,하,1161.2
2018-05-09,하,1217.7
2018-05-10,하,1183.8
2018-05-11,하,1263.5
2018-05-12,하,1360.9
2018-05-14,하,1154.1
2018-05-15,하,1233.6
2018-05-16,하,1307.8
2018-05-17,하,1281.6
2018-05-18,하,1084.9
2018-05-19,하,818.8
2018-05-21,하,1215.9
2018-05-22,하,958.4
2018-05-23,하,1164.4
2018-05-24,하,1190.8
2018-05-25,하,1172.7
2018-05-26,하,850.0
2018-05-28,하,1186.0
2018-05-29,하,1286.3
2018-05-30,하,1303.1
2018-05-31,하,1158.9
2018-06-01,하,1221.7
2018-06-02,하,1325.1
2018-06-04,하,1318.4
2018-06-05,하,1109.5
2018-06-06,하,1252.5
2018-06-07,하,1361.5
2018-06-08,하,1397.9
2018-06-09,하,1227.9
2018-06-11,하,1296.8
2018-06-12,하,1168.4
2018-06-13,하,1261.0
2018-06-14,하,1198.6
2018-06-15,하,1260.9
2018-06-16,하,1102.4
2018-06-18,하,1176.7
2018-06-19,하,1091.7
2018-06-20,하,1190.4
2018-06-21,하,1037.0
2018-06-22,하,1003.4
2018-06-23,하,880.4
2018-06-25,하,981.7
2018-06-26,하,743.3
2018-06-27,하,961.1
2018-06-28,하,1250.1
2018-06-29,하,1405.8
2018-06-30,하,637.2
2018-07-02,하,1293.5
2018-07-03,하,1017.9
2018-07-04,하,1204.3
2018-07-05,하,1193.2
2018-07-06,하,1596.3
2018-07-07,하,1033.3
2018-07-09,하,864.9
2018-07-10,하,1175.4
2018-07-11,하,1389.3
2018-07-12,하,911.8
2018-07-13,하,909.7
2018-07-14,하,1028.4
2018-07-16,하,1017.4
2018-07-17,하,790.5
2018-07-18,하,907.1
2018-07-19,하,783.8
2018-07-20,하,640.1
2018-07-21,하,651.5
2018-07-23,하,810.0
2018-07-24,하,834.8
2018-07-25,하,1039.2
2018-07-26,하,1305.8
2018-07-27,하,1173.4
2018-07-28,하,900.0
2018-07-30,하,1009.5
2018-07-31,하,1115.8
2018-08-01,하,1075.6
2018-08-02,하,1137.7
2018-08-03,하,1082.6
2018-08-06,하,915.4
2018-08-07,하,866.9
2018-08-08,하,1173.7
